amount_tsh,basin,population,public_meeting,scheme_management,permit,extraction_type_class,management_group,payment_type,quality_group,quantity_group,source_class,waterpoint_type_group,status_group,age
500.0,Lake Tanganyika,1.0,True,Water authority,False,handpump,user-group,on failure,good,enough,groundwater,hand pump,functional,11.0
500.0,Rufiji,75.0,True,WUA,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Pangani,140.0,True,VWC,True,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe,functional,46.0
0.0,Pangani,900.0,True,VWC,False,gravity,user-group,never pay,good,dry,surface,communal standpipe,non functional,28.0
0.0,Lake Nyasa,0.0,True,VWC,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional,18.0
0.0,Wami / Ruvu,100.0,True,VWC,True,gravity,user-group,never pay,good,enough,surface,communal standpipe,non functional,16.0
0.0,Pangani,360.0,True,WUA,True,gravity,user-group,unknown,good,enough,groundwater,communal standpipe,functional,9.0
500.0,Rufiji,441.0,True,VWC,True,handpump,user-group,monthly,good,enough,groundwater,hand pump,functional,20.0
50.0,Wami / Ruvu,20.0,False,WUA,True,submersible,commercial,per bucket,good,enough,surface,communal standpipe,non functional,12.0
200.0,Lake Tanganyika,120.0,True,WUG,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,non functional,14.0
0.0,Ruvuma / Southern Coast,280.0,True,VWC,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,non functional,14.0
200.0,Wami / Ruvu,40.0,True,Company,True,submersible,user-group,monthly,good,enough,surface,communal standpipe,non functional,33.0
0.0,Internal,221.0,True,VWC,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional,12.0
250.0,Lake Tanganyika,950.0,True,Water authority,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,functional,13.0
500.0,Lake Tanganyika,1125.0,True,Water authority,False,submersible,user-group,other,good,enough,groundwater,communal standpipe,non functional,42.0
0.0,Ruvuma / Southern Coast,0.0,True,VWC,True,gravity,user-group,on failure,good,enough,surface,communal standpipe,non functional,42.0
0.0,Pangani,110.0,True,VWC,True,other,user-group,never pay,good,dry,groundwater,other,non functional,58.0
0.0,Internal,256.0,True,WUG,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,10.0
0.0,Lake Tanganyika,150.0,True,VWC,False,gravity,user-group,unknown,good,insufficient,groundwater,improved spring,functional,18.0
50.0,Ruvuma / Southern Coast,1.0,True,VWC,False,submersible,user-group,per bucket,good,enough,groundwater,communal standpipe,non functional,9.0
10.0,Pangani,75.0,True,Water Board,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,21.0
1000.0,Pangani,320.0,True,VWC,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,10.0
50.0,Rufiji,1.0,True,VWC,True,gravity,user-group,per bucket,good,dry,groundwater,communal standpipe,non functional,20.0
0.0,Pangani,120.0,True,VWC,True,gravity,user-group,unknown,fluoride,insufficient,surface,communal standpipe,non functional,16.0
0.0,Pangani,120.0,True,VWC,True,gravity,user-group,unknown,good,enough,surface,communal standpipe,functional,15.0
0.0,Wami / Ruvu,90.0,True,VWC,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,23.0
0.0,Lake Victoria,804.0,False,Parastatal,False,gravity,parastatal,unknown,good,dry,surface,communal standpipe,non functional,20.0
50.0,Pangani,1.0,True,VWC,True,submersible,user-group,per bucket,salty,insufficient,groundwater,communal standpipe,non functional,16.0
100.0,Lake Nyasa,0.0,True,VWC,False,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,non functional,20.0
500.0,Rufiji,305.0,True,WUA,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Pangani,1.0,True,VWC,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Lake Nyasa,50.0,True,VWC,False,gravity,user-group,on failure,good,enough,groundwater,communal standpipe,functional,13.0
30.0,Ruvuma / Southern Coast,1.0,False,VWC,False,handpump,user-group,per bucket,good,insufficient,groundwater,hand pump,non functional,14.0
20.0,Wami / Ruvu,150.0,True,VWC,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,functional,16.0
0.0,Wami / Ruvu,1.0,True,VWC,True,submersible,user-group,unknown,good,insufficient,groundwater,communal standpipe,functional,46.0
0.0,Wami / Ruvu,1.0,True,VWC,True,gravity,user-group,never pay,unknown,dry,groundwater,communal standpipe,non functional,48.0
1000.0,Rufiji,40.0,True,VWC,False,rope pump,user-group,on failure,good,enough,groundwater,hand pump,functional,10.0
0.0,Wami / Ruvu,50.0,True,VWC,False,motorpump,user-group,never pay,salty,dry,groundwater,other,non functional,50.0
0.0,Lake Tanganyika,590.0,True,Water authority,False,other,user-group,never pay,good,enough,groundwater,other,functional,24.0
400.0,Ruvuma / Southern Coast,1.0,False,VWC,False,handpump,user-group,monthly,good,enough,groundwater,hand pump,non functional,11.0
0.0,Ruvuma / Southern Coast,1.0,False,VWC,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,10.0
1000.0,Rufiji,250.0,True,VWC,False,handpump,user-group,on failure,good,enough,groundwater,hand pump,functional,11.0
0.0,Lake Rukwa,450.0,True,VWC,False,other,user-group,never pay,good,enough,groundwater,other,non functional,34.0
500.0,Rufiji,80.0,True,WUA,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,functional,42.0
1000.0,Lake Tanganyika,560.0,True,Water authority,True,gravity,user-group,annually,good,enough,surface,communal standpipe,functional,43.0
0.0,Internal,1125.0,True,VWC,False,motorpump,user-group,unknown,good,enough,groundwater,communal standpipe,functional,11.0
0.0,Lake Tanganyika,1050.0,True,VWC,True,other,user-group,unknown,good,enough,groundwater,other,non functional,10.0
20.0,Ruvuma / Southern Coast,36.0,True,VWC,True,gravity,user-group,per bucket,good,seasonal,groundwater,communal standpipe,functional,16.0
0.0,Ruvuma / Southern Coast,540.0,True,VWC,True,gravity,user-group,on failure,good,seasonal,surface,communal standpipe,functional,37.0
0.0,Lake Rukwa,300.0,True,VWC,True,gravity,user-group,never pay,good,dry,surface,communal standpipe,non functional,48.0
40.0,Wami / Ruvu,12.0,True,WUA,True,submersible,commercial,per bucket,good,enough,surface,communal standpipe,functional,10.0
300.0,Wami / Ruvu,632.0,True,VWC,True,other,user-group,monthly,salty,insufficient,groundwater,other,non functional,23.0
500.0,Lake Tanganyika,50.0,True,VWC,True,gravity,user-group,on failure,good,enough,surface,communal standpipe,functional,48.0
0.0,Internal,245.0,True,VWC,True,handpump,user-group,never pay,fluoride,enough,groundwater,hand pump,functional,8.0
0.0,Pangani,600.0,True,VWC,False,gravity,user-group,never pay,good,seasonal,groundwater,communal standpipe,non functional,12.0
1000.0,Rufiji,1.0,True,VWC,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,36.0
0.0,Internal,120.0,True,VWC,True,gravity,user-group,unknown,good,enough,groundwater,communal standpipe,functional,14.0
0.0,Lake Rukwa,59.0,True,VWC,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional,34.0
0.0,Rufiji,1.0,True,VWC,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,11.0
0.0,Rufiji,0.0,True,VWC,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,20.0
30.0,Wami / Ruvu,50.0,True,WUA,True,submersible,user-group,per bucket,good,enough,surface,communal standpipe,non functional,10.0
1000.0,Rufiji,25.0,True,WUA,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,functional,33.0
50.0,Ruvuma / Southern Coast,150.0,True,VWC,True,motorpump,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,9.0
1000.0,Pangani,500.0,True,Water authority,True,gravity,user-group,annually,good,insufficient,groundwater,communal standpipe,functional,42.0
0.0,Pangani,1.0,True,Company,True,gravity,commercial,monthly,good,insufficient,groundwater,communal standpipe,non functional,58.0
50.0,Lake Victoria,100.0,True,VWC,True,gravity,parastatal,per bucket,good,enough,surface,communal standpipe,non functional,42.0
500.0,Rufiji,40.0,True,VWC,False,rope pump,user-group,monthly,good,enough,groundwater,hand pump,functional,10.0
500.0,Rufiji,40.0,True,VWC,False,handpump,user-group,on failure,good,enough,groundwater,hand pump,functional,11.0
0.0,Pangani,400.0,True,WUA,False,gravity,user-group,unknown,good,insufficient,surface,communal standpipe,functional,8.0
10.0,Wami / Ruvu,100.0,True,VWC,True,submersible,user-group,per bucket,good,enough,surface,communal standpipe,non functional,38.0
10.0,Internal,200.0,True,VWC,True,gravity,user-group,per bucket,good,enough,surface,communal standpipe,functional,11.0
0.0,Rufiji,20.0,True,WUA,True,gravity,user-group,on failure,good,dry,surface,other,non functional,42.0
0.0,Lake Tanganyika,100.0,True,Water authority,True,other,commercial,never pay,good,enough,groundwater,hand pump,non functional,35.0
1000.0,Pangani,450.0,True,Water authority,True,gravity,user-group,monthly,good,insufficient,groundwater,communal standpipe,non functional,9.0
0.0,Pangani,1.0,True,Water authority,True,gravity,commercial,monthly,good,insufficient,groundwater,communal standpipe,non functional,44.0
500.0,Pangani,150.0,True,VWC,True,gravity,user-group,on failure,good,enough,groundwater,communal standpipe,functional,20.0
0.0,Pangani,140.0,True,Water authority,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional,18.0
0.0,Pangani,90.0,True,VWC,True,gravity,user-group,unknown,good,insufficient,surface,communal standpipe,non functional,18.0
750.0,Lake Tanganyika,570.0,True,Water authority,True,gravity,commercial,monthly,good,insufficient,surface,communal standpipe,functional,15.0
0.0,Wami / Ruvu,1.0,True,VWC,True,motorpump,user-group,never pay,good,insufficient,surface,communal standpipe,non functional,32.0
0.0,Lake Victoria,1.0,False,Parastatal,False,gravity,parastatal,unknown,good,seasonal,surface,communal standpipe,functional,11.0
0.0,Wami / Ruvu,700.0,True,VWC,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,24.0
20.0,Pangani,120.0,True,VWC,True,handpump,user-group,per bucket,good,insufficient,groundwater,hand pump,functional,21.0
0.0,Lake Victoria,350.0,True,VWC,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,non functional,38.0
10.0,Ruvuma / Southern Coast,630.0,True,VWC,False,gravity,user-group,per bucket,good,insufficient,groundwater,communal standpipe,non functional,14.0
0.0,Internal,270.0,True,VWC,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional,12.0
500.0,Wami / Ruvu,1.0,True,VWC,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,non functional,15.0
50.0,Wami / Ruvu,250.0,True,VWC,True,submersible,user-group,per bucket,good,enough,groundwater,communal standpipe,non functional,14.0
0.0,Pangani,200.0,True,VWC,True,handpump,user-group,unknown,good,seasonal,groundwater,hand pump,non functional,11.0
1000.0,Rufiji,1.0,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,31.0
1000.0,Rufiji,1.0,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,29.0
0.0,Pangani,1000.0,True,VWC,False,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional,16.0
6.0,Pangani,30.0,True,Water Board,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Rufiji,500.0,True,VWC,False,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional,13.0
500.0,Rufiji,55.0,True,WUA,True,gravity,user-group,monthly,good,seasonal,surface,communal standpipe,functional,11.0
100.0,Ruvuma / Southern Coast,1125.0,True,VWC,True,motorpump,user-group,per bucket,salty,enough,groundwater,communal standpipe,functional,45.0
0.0,Pangani,1.0,True,WUA,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional,60.0
1000.0,Lake Nyasa,0.0,True,VWC,False,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,17.0
1000.0,Rufiji,1.0,True,VWC,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,36.0
0.0,Internal,250.0,True,VWC,False,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe,non functional,46.0
0.0,Pangani,210.0,True,VWC,True,gravity,user-group,unknown,good,enough,groundwater,communal standpipe,non functional,9.0
250.0,Lake Tanganyika,320.0,True,Water authority,True,gravity,user-group,monthly,good,enough,groundwater,improved spring,non functional,12.0
100.0,Ruvuma / Southern Coast,1125.0,True,VWC,True,motorpump,user-group,per bucket,salty,enough,groundwater,communal standpipe,functional,46.0
0.0,Lake Tanganyika,450.0,True,VWC,False,gravity,user-group,unknown,good,enough,surface,communal standpipe,functional,32.0
0.0,Rufiji,1.0,True,Water Board,True,gravity,user-group,never pay,good,enough,surface,communal standpipe,functional,25.0
0.0,Pangani,1.0,True,VWC,True,other,user-group,never pay,salty,dry,unknown,other,non functional,59.0
0.0,Pangani,80.0,True,VWC,False,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional,48.0
0.0,Lake Rukwa,1.0,False,VWC,False,submersible,user-group,never pay,unknown,enough,surface,communal standpipe,non functional,36.0
250.0,Lake Tanganyika,50.0,True,Water authority,True,gravity,user-group,monthly,good,insufficient,surface,communal standpipe,functional,38.0
0.0,Lake Tanganyika,450.0,True,VWC,False,gravity,user-group,unknown,good,insufficient,surface,communal standpipe,functional,10.0
0.0,Pangani,150.0,True,VWC,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional,18.0
500.0,Lake Tanganyika,150.0,False,VWC,True,gravity,user-group,monthly,good,insufficient,surface,communal standpipe,non functional,23.0
0.0,Pangani,1.0,False,VWC,True,gravity,user-group,never pay,good,enough,groundwater,other,non functional,44.0
500.0,Lake Tanganyika,0.0,True,VWC,True,handpump,user-group,monthly,good,seasonal,groundwater,hand pump,functional,29.0
0.0,Lake Tanganyika,500.0,True,VWC,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional,12.0
0.0,Wami / Ruvu,450.0,True,VWC,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional,50.0
0.0,Internal,230.0,True,VWC,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional,22.0
0.0,Internal,96.0,True,VWC,True,gravity,user-group,unknown,good,insufficient,groundwater,communal standpipe,functional,11.0
10.0,Internal,150.0,True,VWC,True,gravity,user-group,per bucket,good,enough,surface,communal standpipe,functional,28.0
0.0,Pangani,100.0,True,VWC,False,gravity,user-group,unknown,good,enough,groundwater,communal standpipe,functional,57.0
0.0,Ruvuma / Southern Coast,1.0,True,Water Board,True,submersible,user-group,never pay,good,dry,groundwater,communal standpipe,non functional,38.0
0.0,Ruvuma / Southern Coast,36.0,True,VWC,True,handpump,user-group,never pay,salty,dry,groundwater,hand pump,non functional,42.0
0.0,Internal,150.0,True,VWC,True,gravity,user-group,never pay,good,enough,surface,communal standpipe,non functional,10.0
0.0,Rufiji,900.0,True,VWC,True,gravity,parastatal,never pay,good,dry,surface,communal standpipe,non functional,10.0
0.0,Wami / Ruvu,500.0,True,Private operator,False,handpump,commercial,never pay,good,dry,groundwater,hand pump,non functional,23.0
0.0,Lake Tanganyika,350.0,True,VWC,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional,30.0
0.0,Lake Rukwa,200.0,True,VWC,False,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional,36.0
0.0,Pangani,150.0,True,VWC,False,gravity,user-group,never pay,good,seasonal,groundwater,communal standpipe,non functional,21.0
0.0,Lake Tanganyika,1.0,False,VWC,True,submersible,user-group,never pay,good,enough,groundwater,communal standpipe,non functional,46.0
600.0,Lake Tanganyika,450.0,True,WUG,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,functional,11.0
200.0,Lake Nyasa,86.0,True,VWC,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Ruvuma / Southern Coast,350.0,False,VWC,True,motorpump,user-group,unknown,salty,dry,groundwater,communal standpipe,non functional,42.0
0.0,Rufiji,25.0,True,WUA,True,gravity,user-group,on failure,good,enough,surface,communal standpipe,functional,26.0
1000.0,Ruvuma / Southern Coast,1.0,True,VWC,False,handpump,user-group,annually,good,enough,groundwater,hand pump,functional,22.0
1000.0,Rufiji,75.0,True,VWC,True,gravity,user-group,annually,good,dry,groundwater,communal standpipe,non functional,20.0
0.0,Lake Rukwa,240.0,True,VWC,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,12.0
200.0,Rufiji,203.0,True,WUA,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,25.0
1000.0,Pangani,200.0,True,VWC,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,21.0
0.0,Internal,215.0,True,VWC,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional,15.0
0.0,Pangani,1.0,False,VWC,True,gravity,user-group,never pay,good,enough,groundwater,other,non functional,48.0
0.0,Internal,360.0,True,WUA,False,gravity,user-group,unknown,good,insufficient,surface,communal standpipe,non functional,12.0
500.0,Lake Nyasa,98.0,True,VWC,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,28.0
500.0,Wami / Ruvu,160.0,True,VWC,True,handpump,user-group,monthly,salty,enough,groundwater,hand pump,functional,18.0
50.0,Ruvuma / Southern Coast,450.0,True,VWC,True,motorpump,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,8.0
30.0,Pangani,200.0,True,Water authority,True,submersible,commercial,per bucket,good,enough,groundwater,communal standpipe,functional,20.0
0.0,Lake Tanganyika,1125.0,True,Water authority,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional,44.0
0.0,Pangani,300.0,True,VWC,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional,50.0
0.0,Internal,200.0,True,VWC,True,gravity,user-group,on failure,good,insufficient,surface,communal standpipe,functional,12.0
0.0,Wami / Ruvu,1.0,True,VWC,True,other,user-group,never pay,good,seasonal,groundwater,other,non functional,12.0
200.0,Lake Nyasa,0.0,True,VWC,False,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,12.0
250.0,Lake Tanganyika,210.0,True,Water authority,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,non functional,32.0
300.0,Rufiji,300.0,True,Company,True,gravity,user-group,monthly,good,insufficient,surface,communal standpipe,functional,25.0
0.0,Pangani,400.0,True,WUA,False,gravity,user-group,unknown,good,insufficient,surface,communal standpipe,functional,8.0
0.0,Lake Victoria,350.0,True,Parastatal,False,other,parastatal,unknown,good,insufficient,surface,communal standpipe,functional,16.0
1000.0,Internal,100.0,True,VWC,True,gravity,user-group,annually,colored,enough,surface,communal standpipe,functional,18.0
0.0,Lake Nyasa,300.0,True,VWC,True,handpump,user-group,on failure,good,seasonal,groundwater,hand pump,functional,25.0
0.0,Rufiji,50.0,True,WUA,True,gravity,user-group,on failure,good,dry,surface,communal standpipe,non functional,42.0
50.0,Rufiji,1.0,True,VWC,True,motorpump,user-group,per bucket,good,enough,groundwater,communal standpipe,non functional,14.0
20.0,Ruvuma / Southern Coast,1.0,True,VWC,False,handpump,user-group,per bucket,good,enough,groundwater,hand pump,functional,21.0
50.0,Ruvuma / Southern Coast,1.0,True,VWC,False,submersible,user-group,per bucket,good,enough,groundwater,communal standpipe,non functional,9.0
1000.0,Pangani,400.0,True,WUA,True,submersible,user-group,monthly,good,insufficient,groundwater,communal standpipe,functional,11.0
0.0,Pangani,100.0,True,Water Board,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional,48.0
10.0,Internal,250.0,True,VWC,True,gravity,user-group,per bucket,good,insufficient,surface,communal standpipe,functional,18.0
0.0,Lake Victoria,450.0,True,WUG,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,12.0
0.0,Rufiji,309.0,True,Water Board,True,gravity,other,never pay,good,enough,surface,communal standpipe,functional,25.0
0.0,Lake Nyasa,0.0,True,VWC,True,gravity,user-group,on failure,good,insufficient,groundwater,communal standpipe,functional,36.0
20.0,Pangani,100.0,True,VWC,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,10.0
500.0,Lake Nyasa,95.0,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,28.0
0.0,Lake Rukwa,60.0,True,VWC,False,other,user-group,never pay,good,enough,groundwater,other,non functional,36.0
500.0,Rufiji,130.0,True,WUA,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,11.0
0.0,Pangani,80.0,True,Water authority,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,functional,17.0
1000.0,Rufiji,0.0,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,20.0
1000.0,Ruvuma / Southern Coast,360.0,True,WUG,False,handpump,user-group,monthly,good,insufficient,groundwater,hand pump,non functional,21.0
20.0,Wami / Ruvu,250.0,True,VWC,True,gravity,user-group,per bucket,good,enough,surface,communal standpipe,functional,16.0
10.0,Pangani,159.0,True,Water Board,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,52.0
1000.0,Rufiji,1.0,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,35.0
0.0,Wami / Ruvu,130.0,True,VWC,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,non functional,40.0
1000.0,Ruvuma / Southern Coast,1.0,True,VWC,False,handpump,user-group,monthly,good,enough,groundwater,hand pump,functional,13.0
0.0,Lake Tanganyika,1.0,False,VWC,False,submersible,user-group,never pay,good,enough,surface,communal standpipe,non functional,46.0
0.0,Wami / Ruvu,200.0,True,VWC,True,other,user-group,never pay,good,enough,groundwater,other,non functional,38.0
0.0,Pangani,70.0,True,Water Board,False,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional,27.0
0.0,Lake Nyasa,35.0,True,VWC,False,gravity,user-group,on failure,good,dry,groundwater,communal standpipe,non functional,28.0
1000.0,Lake Nyasa,65.0,True,VWC,True,gravity,user-group,annually,good,insufficient,groundwater,communal standpipe,functional,28.0
0.0,Wami / Ruvu,250.0,True,VWC,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,11.0
10.0,Pangani,50.0,True,WUA,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,19.0
0.0,Pangani,1.0,True,Water Board,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,17.0
0.0,Wami / Ruvu,1.0,True,VWC,True,other,user-group,never pay,good,enough,groundwater,hand pump,non functional,11.0
